"last_name, first_name",player_id,year,pa,b_out_fly,b_out_ground,b_out_line_drive
"Jordan, Levi",682119,2024,11,2,4,1
"Iglesias, Jose",578428,2024,291,34,77,20
"Bliss, Ryan",669208,2024,71,7,17,3
"Ahmed, Nick",605113,2024,228,28,57,11
"Nuñez, Nasim",683083,2024,78,2,24,6
"Herrera, Jose",645444,2024,114,12,35,4
"Madrigal, Nick",663611,2024,94,10,36,8
"Edwards, Xavier",669364,2024,303,32,78,16
"Wiemer Jr., Joey",686894,2024,28,3,6,0
"Doyle, Brenton",686668,2024,603,86,118,37
"Kessinger, Grae",666197,2024,25,4,7,2
"Bichette, Bo",666182,2024,336,37,93,38
"Rafaela, Ceddanne",678882,2024,571,74,129,25
"Hilliard, Sam",656541,2024,158,16,28,6
"Cook, Billy",695257,2024,49,5,4,3
"Millas, Drew",686452,2024,62,8,15,4
"Murphy, Sean",669221,2024,264,30,72,9
"Santana, Carlos",467793,2024,594,94,124,35
"Stott, Bryson",681082,2024,571,93,132,42
"Rogers, Jake",668670,2024,337,56,68,16
"Laureano, Ramón",657656,2024,309,39,53,19
"Barger, Addison",680718,2024,225,32,50,13
"Freeman, Tyler",671289,2024,383,57,102,32
"Seager, Corey",608369,2024,533,86,110,41
"Bart, Joey",663698,2024,282,28,68,9
"Wall, Forrest",657088,2024,35,8,6,2
"Caratini, Victor",605170,2024,274,35,73,16
"Robert Jr., Luis",673357,2024,425,54,71,23
"Candelario, Jeimer",600869,2024,463,68,106,29
"Ramírez, Harold",623912,2024,246,20,83,18
"Lewis, Royce",668904,2024,325,46,61,21
"Vargas, Miguel",678246,2024,237,47,42,15
"Barrosa, Jorge",678489,2024,18,0,9,2
"Hernaiz, Darell",687231,2024,135,18,39,6
"McCann, Kyle",668832,2024,157,14,30,1
"Kiner-Falefa, Isiah",643396,2024,496,67,134,39
"Chaparro, Andrés",665953,2024,132,24,31,6
"Massey, Michael",686681,2024,356,72,90,16
"Martin, Austin",668885,2024,257,38,60,23
"Baty, Brett",683146,2024,171,19,47,5
"Fletcher, Dominic",666150,2024,241,28,59,18
"Gurriel Jr., Lourdes",666971,2024,553,84,117,37
"Schneider, Davis",676914,2024,454,75,63,21
"Gorman, Nolan",669357,2024,402,52,55,19
"Guerrero Jr., Vladimir",665489,2024,697,71,185,45
"Schwarber, Kyle",656941,2024,692,71,112,30
"LeMahieu, DJ",518934,2024,228,28,81,16
"Canha, Mark",592192,2024,462,56,106,21
"Hurtubise, Jacob",674441,2024,68,10,12,6
"Meadows, Parker",678009,2024,298,45,47,17
"Amador, Adael",691182,2024,36,9,13,1
"Vosler, Jason",613564,2024,30,3,8,1
"Fermin, Freddy",666023,2024,368,49,98,18
"Tauchman, Mike",643565,2024,350,61,64,14
"Kim, Ha-Seong",673490,2024,470,68,102,33
"Merrill, Jackson",701538,2024,593,117,119,44
"Abreu, José",547989,2024,120,20,39,9
"Alvarez, Armando",669137,2024,39,5,9,4
"Cooper, Garrett",643265,2024,116,16,24,7
"Giménez, Andrés",665926,2024,633,78,187,49
"Locklear, Tyler",682988,2024,49,3,9,0
"Dalbec, Bobby",666915,2024,93,14,13,2
"Blankenhorn, Travis",663905,2024,32,1,14,0
"Wade, Tyler",642180,2024,156,19,42,13
"Driscoll, Logan",686482,2024,37,2,16,4
"McKinstry, Zach",656716,2024,325,63,61,26
"Dingler, Dillon",693307,2024,87,9,20,8
"Wagner, Will",695238,2024,86,7,26,8
"Beck, Jordan",687597,2024,184,27,37,6
"Anderson, Tim",641313,2024,241,20,75,20
"Delay, Jason",641511,2024,19,2,7,1
"Adell, Jo",666176,2024,451,63,83,25
"Soto, Juan",665742,2024,713,77,162,31
"Saggese, Thomas",695336,2024,52,9,11,3
"Pagés, Pedro",686780,2024,218,29,50,12
"Taylor, Michael A.",572191,2024,300,35,57,17
"Palacios, Joshua",641943,2024,78,7,28,1
"Hays, Austin",669720,2024,255,37,49,16
"Olson, Matt",621566,2024,685,93,126,32
"Conine, Griffin",665052,2024,89,5,22,1
"Narváez, Carlos",665966,2024,15,1,3,0
"Short, Zack",670097,2024,88,16,16,5
"Walker, Jordan",691023,2024,178,23,43,11
"Noel, Jhonkensy",678877,2024,198,21,31,8
"Dahl, David",621311,2024,62,10,14,1
"Jansen, Danny",643376,2024,324,63,51,22
"Julks, Corey",667452,2024,189,29,37,11
"Haase, Eric",606992,2024,69,4,10,5
"Calhoun, Willie",641432,2024,254,36,67,21
"Davis, J.D.",605204,2024,157,11,50,6
"White, Eli",642201,2024,42,4,9,2
"Wong, Connor",657136,2024,487,54,101,26
"Sweeney, Trey",700242,2024,119,15,25,8
"Thaiss, Matt",642136,2024,186,23,31,5
"Andujar, Miguel",609280,2024,319,40,97,14
"Meyers, Jake",676694,2024,513,70,125,29
"Dunn, Oliver",686554,2024,104,10,18,5
"Rodríguez, Johnathan",671286,2024,40,2,11,0
"Guillorme, Luis",641645,2024,187,22,55,15
"O'Neill, Tyler",641933,2024,473,48,65,16
"Teodosio, Bryce",669326,2024,12,1,4,1
"Tatis Jr., Fernando",665487,2024,438,55,108,19
"Schuemann, Max",680474,2024,459,75,81,19
"Herrera, Iván",671056,2024,259,28,57,16
"McGuire, Reese",624512,2024,158,21,39,5
"Nootbaar, Lars",663457,2024,405,41,103,29
"Gelof, Zack",680869,2024,547,65,102,24
"Salazar, César",663967,2024,32,4,5,4
"Stanton, Giancarlo",519317,2024,459,40,85,21
"Gray, Tristan",656484,2024,31,3,5,1
"Urshela, Gio",570482,2024,461,56,134,48
"Bader, Harrison",664056,2024,437,53,102,34
"Williams, Luke",663897,2024,52,14,7,2
"Contreras, Willson",575929,2024,358,32,57,18
"Duran, Jarren",680776,2024,735,67,172,53
"Jeffers, Ryan",680777,2024,465,66,102,27
"Lee, Brooks",686797,2024,185,32,53,11
"Vaughn, Andrew",683734,2024,619,105,124,34
"Mateo, Jorge",622761,2024,208,30,49,11
"Wallner, Matt",670242,2024,261,21,26,7
"Alvarez Jr., Nacho",805373,2024,32,2,8,4
"Crawford, Brandon",543063,2024,80,7,17,8
"Whitcomb, Shay",694376,2024,46,7,9,5
"Margot, Manuel",622534,2024,343,54,84,26
"Walker, Christian",572233,2024,552,80,94,32
"O'Hoppe, Logan",681351,2024,522,66,94,29
"Grichuk, Randal",545341,2024,279,43,54,13
"Vientos, Mark",668901,2024,454,40,87,24
"Jones, Nolan",666134,2024,297,26,65,12
"Ozuna, Marcell",542303,2024,688,87,121,34
"García, Luis",671277,2024,528,78,150,35
"Outman, James",681546,2024,156,19,23,10
"Taylor, Tyrone",621438,2024,345,46,73,18
"Encarnacion-Strand, Christian",687952,2024,123,13,32,6
"Jimenez, Leo",677870,2024,210,23,36,17
"Carpenter, Matt",572761,2024,157,21,17,11
"Paredes, Isaac",670623,2024,641,95,114,40
"Knizner, Andrew",668800,2024,93,11,24,12
"Robinson, Chuckie",642020,2024,76,9,25,4
"Mastrobuoni, Miles",670156,2024,106,24,31,6
"Foscue, Justin",679822,2024,44,8,7,3
"Bouchard, Sean",656248,2024,108,14,25,4
"Castellanos, Nick",592206,2024,659,104,141,52
"Pederson, Joc",592626,2024,449,48,69,24
"Merrifield, Whit",593160,2024,335,52,95,18
"Nevin, Tyler",663527,2024,278,45,64,17
"Muncy, Max",571970,2024,293,50,33,9
"Martínez, Angel",682657,2024,169,22,42,10
"Bell, Josh",605137,2024,603,71,163,28
"Gonzales, Nick",693304,2024,387,63,91,24
"Kiermaier, Kevin",595281,2024,281,28,76,16
"Edman, Tommy",669242,2024,153,23,38,9
"Pasquantino, Vinnie",686469,2024,554,98,134,35
"McCray, Grant",687529,2024,130,11,26,4
"Lopez, Nicky",670032,2024,445,59,146,22
"Pillar, Kevin",607680,2024,314,53,59,19
"Bregman, Alex",608324,2024,634,107,136,48
"Wendle, Joey",621563,2024,37,6,11,1
"Walsh, Jared",665120,2024,60,8,7,3
"India, Jonathan",663697,2024,637,69,141,39
"Thompson, Bubba",669352,2024,18,1,4,0
"Rocchio, Brayan",677587,2024,442,60,115,27
"Mullins II, Cedric",656775,2024,499,74,88,36
"Duran, Ezequiel",677649,2024,285,43,65,18
"Frelick, Sal",686217,2024,524,60,139,41
"Heim, Jonah",641680,2024,491,88,121,31
"Luciano, Marco",682617,2024,81,8,15,5
"Slater, Austin",596103,2024,212,16,51,13
"Adrianza, Ehire",501303,2024,28,4,5,1
"Dunn, Blake",694362,2024,29,2,6,0
"Horwitz, Spencer",687462,2024,381,42,87,22
"Shenton, Austin",668853,2024,50,6,7,4
"Tromp, Chadwick",644433,2024,54,8,13,2
"Nimmo, Brandon",607043,2024,663,86,138,41
"Riley, Austin",663586,2024,469,70,82,28
"Arozarena, Randy",668227,2024,648,79,126,25
"Kirk, Alejandro",672386,2024,386,46,108,27
"Bruján, Vidal",660644,2024,278,28,84,15
"León, Pedro",694175,2024,21,1,4,2
"Bote, David",623520,2024,48,6,8,1
"Abreu, Wilyer",677800,2024,447,71,64,18
"Keith, Colt",690993,2024,556,78,130,45
"Harper, Bryce",547180,2024,631,87,114,38
"Hampson, Garrett",641658,2024,231,42,39,14
"Jackson, Alex",656577,2024,155,23,30,6
"Misner, Kameron",670224,2024,15,2,1,1
"Haggerty, Sam",664059,2024,16,0,5,3
"Torres, Gleyber",650402,2024,665,109,131,41
"Toro, Abraham",647351,2024,364,57,96,22
"Sanó, Miguel",593934,2024,95,5,14,10
"Fermín, José",665877,2024,79,9,29,5
"Isbel, Kyle",664728,2024,426,50,122,23
"Brooks, Trenton",670092,2024,29,8,6,2
"Black, Tyler",672012,2024,57,9,9,2
"Pereda, Jhonny",640902,2024,40,4,13,2
"Suwinski, Jack",669261,2024,277,29,63,20
"Marte, Noelvi",682622,2024,242,23,54,14
"Urías, Luis",649966,2024,109,11,16,6
"Martinez, J.D.",502110,2024,495,65,89,23
"Busch, Michael",683737,2024,567,79,102,11
"Caminero, Junior",691406,2024,177,19,47,4
"Marsh, Brandon",669016,2024,476,54,80,20
"Mitchell, Garrett",669003,2024,224,10,52,12
"Tellez, Rowdy",642133,2024,421,58,84,28
"Gallo, Joey",608336,2024,260,34,29,5
"Perdomo, Geraldo",672695,2024,388,64,88,19
"Stevenson, Cal",670276,2024,27,7,6,1
"Bogaerts, Xander",593428,2024,463,72,125,24
"Raley, Luke",670042,2024,455,44,93,20
"Carroll, Corbin",682998,2024,684,78,165,32
"Sánchez, Gary",596142,2024,280,38,56,12
"Witt Jr., Bobby",677951,2024,709,124,122,41
"Hernández, Enrique",571771,2024,393,71,85,21
"Vierling, Matt",663837,2024,567,75,123,39
"Biggio, Cavan",624415,2024,224,23,34,8
"Amaya, Miguel",665804,2024,363,50,100,29
"Casali, Curt",592200,2024,125,20,32,6
"Rortvedt, Ben",666163,2024,328,30,73,18
"Rojas, Miguel",500743,2024,337,41,106,22
"Morel, Christopher",666624,2024,611,67,131,30
"Solano, Donovan",456781,2024,309,43,66,18
"Winker, Jesse",608385,2024,508,54,114,22
"Estrada, Thairo",642731,2024,381,51,108,26
"Wilson, Weston",642215,2024,98,8,15,3
"Berroa, Steward",672642,2024,45,5,6,1
"Pache, Cristian",665506,2024,183,21,36,7
"McCann, James",543510,2024,233,31,51,19
"DeLoach, Zach",676113,2024,75,10,20,2
"Bleday, JJ",668709,2024,642,110,119,41
"Springer III, George",543807,2024,614,70,180,37
"Loftin, Nick",679845,2024,171,27,51,12
"Mervis, Matt",670223,2024,28,6,7,1
"Winn, Masyn",691026,2024,637,93,140,55
"Hoerner, Nico",663538,2024,641,86,169,67
"Cave, Jake",595909,2024,346,41,79,24
"Jones, Jahmai",663330,2024,47,6,7,2
"Langeliers, Shea",669127,2024,534,67,106,26
"Madris, Bligh",676632,2024,75,12,8,3
"Nido, Tomás",621512,2024,140,23,35,10
"Lowe, Brandon",664040,2024,425,53,81,30
"Lux, Gavin",666158,2024,487,50,119,32
"Moncada, Yoán",660162,2024,45,3,12,2
"Bride, Jonah",681146,2024,272,29,65,6
"Del Castillo, Adrian",680728,2024,87,13,9,2
"McNeil, Jeff",643446,2024,472,78,109,37
"Moore, Dylan",664238,2024,441,68,56,25
"Urías, Ramón",602104,2024,301,46,68,17
"Schunk, Aaron",668845,2024,98,14,17,7
"Carter, Evan",694497,2024,162,23,33,9
"Bohm, Alec",664761,2024,606,87,168,40
"Gasper, Mickey",681508,2024,23,1,5,4
"Wendzel, Davis",673995,2024,49,8,16,1
"Allen, Nick",669397,2024,105,9,39,6
"Canzone, Dominic",686527,2024,188,28,44,7
"Hoskins, Rhys",656555,2024,517,77,80,19
"Taveras, Leody",665750,2024,529,81,116,36
"Freeman, Freddie",518692,2024,638,103,139,41
"Judge, Aaron",592450,2024,704,83,82,28
"Hamilton, David",666152,2024,317,49,56,25
"Sosa, Lenyn",672820,2024,369,51,79,40
"Story, Trevor",596115,2024,106,12,14,4
"Norby, Connor",681393,2024,194,27,32,9
"Rendon, Anthony",543685,2024,238,45,55,13
"Remillard, Zach",621545,2024,39,5,11,0
"Lindor, Francisco",596019,2024,689,116,130,40
"Barnes, Austin",605131,2024,156,13,37,10
"Alexander, Blaze",677942,2024,185,24,42,4
"Narváez, Omar",553882,2024,69,17,18,2
"Benson, Will",666181,2024,388,51,55,11
"Sabol, Blake",666165,2024,38,4,5,2
"Lopez, Otto",672640,2024,434,57,132,23
"Sanoja, Javier",691594,2024,36,4,12,4
"Rengifo, Luis",650859,2024,304,28,94,23
"Rosario, Eddie",592696,2024,319,62,79,23
"Yastrzemski, Mike",573262,2024,474,67,85,24
"Crawford, J.P.",641487,2024,451,53,106,30
"Henderson, Gunnar",683002,2024,719,73,155,46
"Siani, Michael",672279,2024,334,28,99,16
"Julien, Edouard",666397,2024,301,37,58,16
"Grissom, Vaughn",687093,2024,114,14,34,11
"Crow-Armstrong, Pete",691718,2024,410,74,86,20
"Rojas, Josh",668942,2024,476,78,91,33
"Davis, Henry",680779,2024,122,12,18,4
"Valdez, Enmanuel",665839,2024,223,37,42,12
"Fry, David",681807,2024,392,59,70,15
"Marchán, Rafael",665561,2024,56,9,12,6
"Holliday, Jackson",702616,2024,208,25,50,8
"Smith, Josh",669701,2024,592,99,116,32
"García, Avisaíl",541645,2024,51,5,19,1
"Maldonado, Martín",455117,2024,147,27,30,4
"Conforto, Michael",624424,2024,488,60,109,20
"Soler, Jorge",624585,2024,574,77,107,18
"Betts, Mookie",605141,2024,516,108,81,42
"Alvarez, Yordan",670541,2024,635,125,98,38
"Wisely, Brett",689172,2024,272,53,58,10
"Flores, Wilmer",527038,2024,242,39,54,18
"Donovan, Brendan",680977,2024,652,94,163,49
"Schmitt, Casey",669477,2024,113,19,23,7
"Arenado, Nolan",571448,2024,635,90,141,56
"Shewmake, Braden",669699,2024,67,10,25,3
"Cowser, Colton",681297,2024,561,70,109,17
"Robles, Victor",645302,2024,295,40,63,14
"Smith, Pavin",656976,2024,158,20,38,9
"Jankowski, Travis",608671,2024,207,22,64,14
"Adams, Jordyn",677941,2024,38,4,8,2
"Alvarez, Francisco",682626,2024,342,33,87,17
"Grisham, Trent",663757,2024,209,33,42,4
"Buxton, Byron",621439,2024,388,59,45,25
"Soto, Livan",670869,2024,16,4,3,0
,,,182266,24599,39942,10644
